Gender,Umur,BB,Status
0,0,1.7,Gizi Buruk
0,0,2.1,Gizi Kurang
0,0,3.9,Gizi Baik
0,0,4,Gizi Lebih
0,1,2.1,Gizi Buruk
0,1,2.7,Gizi Kurang
0,1,5,Gizi Baik
0,1,5.1,Gizi Lebih
0,2,2.6,Gizi Buruk
0,2,3.2,Gizi Kurang
0,2,6,Gizi Baik
0,2,6.1,Gizi Lebih
0,3,3.1,Gizi Buruk
0,3,3.8,Gizi Kurang
0,3,6.9,Gizi Baik
0,3,7,Gizi Lebih
0,4,3.6,Gizi Buruk
0,4,4.4,Gizi Kurang
0,4,7.6,Gizi Baik
0,4,7.7,Gizi Lebih
0,5,4,Gizi Buruk
0,5,4.9,Gizi Kurang
0,5,8.3,Gizi Baik
0,5,8.4,Gizi Lebih
0,6,4.5,Gizi Buruk
0,6,5.4,Gizi Kurang
0,6,8.9,Gizi Baik
0,6,9,Gizi Lebih
0,7,4.9,Gizi Buruk
0,7,5.8,Gizi Kurang
0,7,9.5,Gizi Baik
0,7,9.6,Gizi Lebih
0,8,5.3,Gizi Buruk
0,8,6.2,Gizi Kurang
0,8,10,Gizi Baik
0,8,10.1,Gizi Lebih
0,9,5.6,Gizi Buruk
0,9,6.5,Gizi Kurang
0,9,10.4,Gizi Baik
0,9,10.5,Gizi Lebih
0,10,5.8,Gizi Buruk
0,10,6.8,Gizi Kurang
0,10,10.8,Gizi Baik
0,10,10.9,Gizi Lebih
0,11,6.1,Gizi Buruk
0,11,7.1,Gizi Kurang
0,11,11.2,Gizi Baik
0,11,11.3,Gizi Lebih
0,12,6.3,Gizi Buruk
0,12,7.3,Gizi Kurang
0,12,11.5,Gizi Baik
0,12,11.6,Gizi Lebih
0,13,6.5,Gizi Buruk
0,13,7.5,Gizi Kurang
0,13,11.8,Gizi Baik
0,13,11.9,Gizi Lebih
0,14,6.6,Gizi Buruk
0,14,7.7,Gizi Kurang
0,14,12.1,Gizi Baik
0,14,12.2,Gizi Lebih
0,15,6.8,Gizi Buruk
0,15,7.9,Gizi Kurang
0,15,12.3,Gizi Baik
0,15,12.4,Gizi Lebih
0,16,6.9,Gizi Buruk
0,16,8.1,Gizi Kurang
0,16,12.5,Gizi Baik
0,16,12.6,Gizi Lebih
0,17,7.1,Gizi Buruk
0,17,8.2,Gizi Kurang
0,17,12.8,Gizi Baik
0,17,12.9,Gizi Lebih
0,18,7.2,Gizi Buruk
0,18,8.4,Gizi Kurang
